date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:47	46992/46992	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2004%20Jun%202026%2008:18:45%20GMT	https://degree-admission.co.in/	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/index.html	(from )
13:48:47	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:18:45%20GMT	https://degree-admission.co.in/robots.txt		(from )
13:48:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Jun%202026%2008:18:46%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/manipal/Manipal%20Landing%20Page/img1.wsimg.com/traffic-assets/js/tccl.min.22.delayed	(from https://degree-admission.co.in/)
13:48:47	232914/232914	U-----	200	untouched ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/manipal/Manipal%20Landing%20Page/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://degree-admission.co.in/)
13:48:47	1544/1544	U-----	200	untouched ('')	image/png	etag:%224180786-608-63c8cc0714280%22	https://degree-admission.co.in/assets/images/favicon.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/favicon.png	(from https://degree-admission.co.in/)
13:48:47	3351/3351	U-----	200	untouched ('OK')	text/css	date:Mon,%2004%20May%202020%2016:04:00%20GMT	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/manipal/Manipal%20Landing%20Page/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://degree-admission.co.in/)
13:48:54	6520/6520	U--M-Z	200	updated ('OK')	text/css	etag:%224180fb5-1978-649c158bcac92-gzip%22	https://degree-admission.co.in/assets/css/style.css	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/css/style.css	(from https://degree-admission.co.in/)
13:48:54	189/189	U--M-Z	200	updated ('OK')	text/css	etag:%22418077a-bd-63c8cc0714280-gzip%22	https://degree-admission.co.in/assets/css/responsive.css?var=1	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/css/responsive67f8.css	(from https://degree-admission.co.in/)
13:48:59	379702/379702	U--M-Z	200	updated ('OK')	application/x-javascript	date:Thu,%2004%20Jun%202026%2008:18:54%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/manipal/Manipal%20Landing%20Page/connect.facebook.net/en_US/fbevents.js	(from https://degree-admission.co.in/)
13:49:02	5798/5798	U-----	200	untouched ('')	image/webp	etag:%22418078b-16a6-63c8cc0714280%22	https://degree-admission.co.in/assets/images/logo.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/logo.webp	(from https://degree-admission.co.in/)
13:49:06	17586/17586	U-----	200	untouched ('')	image/webp	etag:%224180791-44b2-63c8cc0714280%22	https://degree-admission.co.in/assets/images/naac.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/naac.webp	(from https://degree-admission.co.in/)
13:49:09	19712/19712	U-----	200	untouched ('')	image/webp	etag:%224180798-4d00-63c8cc0714280%22	https://degree-admission.co.in/assets/images/ugc.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/ugc.webp	(from https://degree-admission.co.in/)
13:49:13	3189/3189	U-----	200	untouched ('')	image/png	etag:%224180792-c75-63c8cc0714280%22	https://degree-admission.co.in/assets/images/nirf.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/nirf.png	(from https://degree-admission.co.in/)
13:49:15	10679/10679	U-----	200	untouched ('')	image/jpeg	etag:%224180793-29b7-63c8cc0714280%22	https://degree-admission.co.in/assets/images/QS-2025.jpg	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/QS-2025.jpg	(from https://degree-admission.co.in/)
13:49:20	19332/19332	U-----	200	untouched ('')	image/webp	etag:%22418077f-4b84-63c8cc0714280%22	https://degree-admission.co.in/assets/images/AICTE.jpg.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/AICTE.jpg.webp	(from https://degree-admission.co.in/)
13:49:24	9104/9104	U-----	200	untouched ('')	image/jpeg	etag:%224180797-2390-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Times-Higher-Education-Impact.jpg	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Times-Higher-Education-Impact.jpg	(from https://degree-admission.co.in/)
13:49:27	10776/10776	U-----	200	untouched ('')	image/webp	etag:%224180799-2a18-63c8cc0714280%22	https://degree-admission.co.in/assets/images/WES-2.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/WES-2.webp	(from https://degree-admission.co.in/)
13:49:30	7662/7662	U-----	200	untouched ('')	image/webp	etag:%224180785-1dee-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Career360.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Career360.webp	(from https://degree-admission.co.in/)
13:49:34	73173/73173	U-----	200	untouched ('')	image/png	etag:%22418078d-11dd5-63c8cc0714280%22	https://degree-admission.co.in/assets/images/MBA.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/MBA.png	(from https://degree-admission.co.in/)
13:49:37	74043/74043	U-----	200	untouched ('')	image/png	etag:%22418078e-1213b-63c8cc0714280%22	https://degree-admission.co.in/assets/images/mca.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/mca.png	(from https://degree-admission.co.in/)
13:49:41	83559/83559	U-----	200	untouched ('')	image/png	etag:%22418078c-14667-63c8cc0714280%22	https://degree-admission.co.in/assets/images/ma.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/ma.png	(from https://degree-admission.co.in/)
13:49:44	62140/62140	U-----	200	untouched ('')	image/png	etag:%22418078f-f2bc-63c8cc0714280%22	https://degree-admission.co.in/assets/images/MCOM.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/MCOM.png	(from https://degree-admission.co.in/)
13:49:48	70863/70863	U-----	200	untouched ('')	image/png	etag:%224180781-114cf-63c8cc0714280%22	https://degree-admission.co.in/assets/images/BBA.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/BBA.png	(from https://degree-admission.co.in/)
13:49:51	12184/12184	U-----	200	untouched ('')	image/webp	etag:%224180782-2f98-63c8cc0714280%22	https://degree-admission.co.in/assets/images/BCA.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/BCA.webp	(from https://degree-admission.co.in/)
13:49:55	245692/245692	U-----	200	untouched ('')	image/png	etag:%224180780-3bfbc-63c8cc0714280%22	https://degree-admission.co.in/assets/images/ba.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/ba.png	(from https://degree-admission.co.in/)
13:49:58	71363/71363	U-----	200	untouched ('')	image/png	etag:%224180783-116c3-63c8cc0714280%22	https://degree-admission.co.in/assets/images/bcom.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/bcom.png	(from https://degree-admission.co.in/)
13:50:02	9112/9112	U-----	200	untouched ('')	image/webp	etag:%224180790-2398-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Menka-Sharma.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Menka-Sharma.webp	(from https://degree-admission.co.in/)
13:50:04	13432/13432	U-----	200	untouched ('')	image/webp	etag:%224180794-3478-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Sahana-K.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Sahana-K.webp	(from https://degree-admission.co.in/)
13:50:09	16998/16998	U-----	200	untouched ('')	image/webp	etag:%224180784-4266-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Botsa-Anitha.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Botsa-Anitha.webp	(from https://degree-admission.co.in/)
13:50:11	6148/6148	U-----	200	untouched ('')	image/webp	etag:%224180796-1804-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Syed.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Syed.webp	(from https://degree-admission.co.in/)
